,Date,Distance,Calories,Avg HR,Avg Run Cadence,Avg Pace,Best Pace,Avg Stride Length,Elapsed Time,Avg Speed,Best Speed,Count,isInjured
369,2020-11-12 07:31:00,2.96,297.0,165.0,160,7.566666666666666,7.033333333333333,1.33,35.2,7.929515418502203,8.530805687203792,1,0
367,2020-11-12 08:45:00,1.97,207.0,168.0,161,7.683333333333334,7.083333333333333,1.3,15.133333333333333,7.809110629067245,8.470588235294118,1,0
366,2020-11-13 13:11:00,5.01,441.0,152.0,158,7.5,5.733333333333333,1.36,52.05,8.0,10.465116279069766,1,0
365,2020-11-14 09:40:00,1.9,195.0,155.0,156,8.183333333333334,7.166666666666667,1.26,25.85,7.3319755600814664,8.372093023255813,1,0
364,2020-11-14 10:11:00,4.03,327.0,171.0,168,5.916666666666667,5.233333333333333,1.62,31.466666666666665,10.140845070422534,11.464968152866241,1,0
362,2020-11-15 11:37:00,8.06,617.0,147.0,161,7.45,6.433333333333334,1.34,63.05,8.053691275167784,9.32642487046632,1,0
361,2020-11-16 07:41:00,5.36,488.0,158.0,161,7.3,3.75,1.38,53.31666666666667,8.219178082191782,16.0,1,0
360,2020-11-17 07:17:00,2.02,174.0,142.0,160,7.933333333333334,1.05,1.27,29.25,7.563025210084033,57.14285714285714,1,0
356,2020-11-19 07:40:00,3.98,366.0,149.0,160,7.783333333333333,6.4,1.3,32.05,7.7087794432548185,9.375,1,0
355,2020-11-19 08:23:00,1.3,123.0,148.0,130,8.35,3.716666666666667,1.43,12.2,7.185628742514971,16.143497757847534,1,0
352,2020-11-21 12:59:00,1.94,190.0,149.0,159,8.1,7.45,1.25,20.15,7.407407407407407,8.053691275167784,1,0
350,2020-11-30 10:12:00,3.0,320.0,167.0,163,7.8,5.466666666666667,1.26,23.433333333333334,7.6923076923076925,10.97560975609756,1,0
349,2020-12-02 15:55:00,5.07,503.0,166.0,161,7.333333333333333,6.75,1.36,38.61666666666667,8.181818181818182,8.88888888888889,1,0
347,2020-12-04 14:56:00,4.63,446.0,164.0,163,7.266666666666667,5.983333333333333,1.36,33.6,8.256880733944953,10.027855153203342,1,0
346,2020-12-05 12:01:00,3.2,301.0,165.0,163,7.066666666666666,6.533333333333333,1.4,22.65,8.49056603773585,9.183673469387756,1,0
345,2020-12-06 09:56:00,4.48,456.0,160.0,160,8.066666666666666,5.116666666666666,1.24,42.86666666666667,7.43801652892562,11.726384364820849,1,0
344,2020-12-07 15:45:00,5.39,494.0,173.0,164,6.7,6.0,1.46,38.43333333333333,8.955223880597014,10.0,1,0
343,2020-12-08 09:52:00,6.77,593.0,166.0,164,6.8,5.633333333333333,1.44,55.5,8.823529411764707,10.650887573964498,1,0
342,2020-12-08 10:50:00,1.0,98.0,161.0,163,7.633333333333333,7.183333333333334,1.3,463.7,7.860262008733625,8.352668213457076,1,0
341,2020-12-09 08:34:00,7.0,672.0,163.0,163,7.65,6.216666666666667,1.29,55.38333333333333,7.8431372549019605,9.651474530831099,1,0
340,2020-12-10 09:31:00,5.01,481.0,170.0,162,7.25,6.516666666666667,1.37,37.916666666666664,8.275862068965518,9.207161125319693,1,0
339,2020-12-11 09:04:00,2.01,192.0,160.0,159,7.666666666666667,6.833333333333333,1.32,23.016666666666666,7.826086956521739,8.78048780487805,1,0
338,2020-12-11 09:32:00,4.01,332.0,169.0,165,6.4,5.966666666666667,1.53,31.083333333333332,9.375,10.05586592178771,1,0
337,2020-12-11 10:04:00,1.01,105.0,165.0,160,7.983333333333333,7.216666666666667,1.26,482.7,7.515657620041754,8.314087759815243,1,0
336,2020-12-12 10:18:00,3.08,254.0,146.0,162,7.6,6.666666666666667,1.31,25.45,7.894736842105264,9.0,1,0
335,2020-12-13 11:06:00,9.18,826.0,162.0,163,7.233333333333333,6.266666666666667,1.36,68.41666666666667,8.294930875576037,9.574468085106384,1,0
